Name,Type,Agency,Dept.,URL,Handle,Abandoned,Personal Account
Department of Economic Development,LinkedIn,Economic Development,Economic Development,https://www.linkedin.com/company/missouri-department-of-economic-development,missouri-department-of-economic-development,,
Missouri Consolidated Health Care Plan  (MCHCP),LinkedIn,Administration,,https://www.linkedin.com/company/missouri-consolidated-health-care-plan,missouri-consolidated-health-care-plan,,
Midwestern Higher Education Compact,LinkedIn,Higher Education,,https://www.linkedin.com/company/midwestern-higher-education-compact,midwestern-higher-education-compact,,
Missouri Higher Education Loan Authority (MOHELA),LinkedIn,Higher Education,,https://www.linkedin.com/company/mohela,mohela,,
Missouri Business Education Association (MBEA),LinkedIn,Elementary and Secondary Education,,https://www.linkedin.com/groups/3815159/profile,groups/3815159/profile,,
Department of Insurance Financial Institutions and Professional Registration,LinkedIn,Insurance,Insurance,https://www.linkedin.com/groups/3777856/profile,groups/3777856/profile,,
Auditor's Office,LinkedIn,Auditor,Auditor,https://www.linkedin.com/company/missouri-state-auditor's-office,missouri-state-auditor's-office,,
Kansas City Board of Election Commissioners,LinkedIn,Kansas City Board of Election Commissioners,Boards,https://www.linkedin.com/company/kansas-city-board-of-election-commissioners,kansas-city-board-of-election-commissioners,,
Missouri Bar,LinkedIn,Missouri Bar,,https://www.linkedin.com/company/the-missouri-bar,the-missouri-bar,,
