Name,Type,Agency,Dept.,URL,Handle,Abandoned,Personal Account
Division of Tourism,Pinterest,Economic Development,Division of Tourism,https://www.pinterest.com/visitmo/,visitmo,,
Missouri Wine and Grape Board,Pinterest,Agriculture,Wine and Grape Board,https://www.pinterest.com/missouriwines/,missouriwines,,
Missouri State Fair,Pinterest,Agriculture,State Fair Commission,https://www.pinterest.com/mostatefair/,mostatefair,,
Children's Trust Fund,Pinterest,Administration,Children's Trust Fund Board,https://www.pinterest.com/missourictf/,missourictf,,
Missouri Higher Education Loan Authority (MOHELA),Pinterest,Higher Education,Missouri Higher Education Loan Authority (MOHELA),https://www.pinterest.com/mohelaservicing/,mohelaservicing,,
St. Louis Convention and Visitors Commission,Pinterest,Elementary and Secondary Education,St. Louis Convention and Visitors Commission,https://www.pinterest.com/explorestlouis1/,explorestlouis1,,
Department of Conservation,Pinterest,Conservation,Department of Conservation,https://www.pinterest.com/MOConservation/,MOConservation,,
Kansas City Area Transportation Authority,Pinterest,Transportation,Kansas City Area Transportation Authority,https://www.pinterest.com/kcatametro/,kcatametro,,
